train:0.001693761269152574,validation:0.0019032172470663984
train:0.001715094144046716,validation:0.001839252641528017
train:0.0017196888674644159,validation:0.0018434622971754936
train:0.0017026470191162694,validation:0.0019221318264802296
train:0.0017072955456019921,validation:0.0018401820497173402
train:0.001731747922559197,validation:0.0018449321570288804
train:0.001701407280371903,validation:0.0019350563977948492
train:0.0017162840672676543,validation:0.0018416334900798069
train:0.0017379149666649626,validation:0.0018590945853955215
train:0.0017111795573178064,validation:0.0019390553029047118
train:0.0017242476709985308,validation:0.0018652697844016883
train:0.0017450497035387453,validation:0.0018426816289623578
train:0.0017289450343514045,validation:0.001967864085195793
train:0.0017174459407924786,validation:0.0018796969541451996
train:0.0017671774916739745,validation:0.001851529723757671
train:0.0017398333427711176,validation:0.001977489847275946
train:0.0017319827361011897,validation:0.001910743277726902
train:0.0017831095502005665,validation:0.0018387663747287458
train:0.0017499793960538868,validation:0.0020405137652738225
train:0.0017525367438793182,validation:0.0018807262854857577
train:0.0018144429157293596,validation:0.0019013300900244052
train:0.001746954533251023,validation:0.0020574904952405226
train:0.001790353648395247,validation:0.0018617455304289858
train:0.0018381243264609642,validation:0.002017313627422684
train:0.001732821030040773,validation:0.002005815635331803
train:0.0018711893020996026,validation:0.0018902197738902436
train:0.0017661019932007887,validation:0.0021065728376722997
train:0.0018308438734243532,validation:0.0018735774922081167
train:0.0018288443993347196,validation:0.0020932955279325447
train:0.0017731436489886799,validation:0.0019004127502234445
train:0.0018752832259921418,validation:0.0020251678328754175
train:0.0017409830732823728,validation:0.0019416578967745106
train:0.0018646533544697276,validation:0.001983385170913405
train:0.0017534165904130581,validation:0.0019585436805047924
train:0.0018413200178746504,validation:0.0019214163896524245
train:0.0017567748104089073,validation:0.0019938262024273476
train:0.0018182739085814618,validation:0.0019046532041910621
train:0.0017569096999468057,validation:0.0019561322405934334
train:0.0017993817627839335,validation:0.0018970181829192573
train:0.0017506214495809688,validation:0.0019485274096950889
train:0.0017618136454864845,validation:0.001888341839528746
train:0.0017490820731496908,validation:0.0018823614939012462
train:0.001726486624198055,validation:0.0019060514556864898
train:0.0017396986489644744,validation:0.001872292008354432
train:0.0017150653574799935,validation:0.0018806967418640852
train:0.0017067447245878342,validation:0.0018368538132765228
train:0.0017238886551010411,validation:0.0018851312860432598
train:0.001688974005026886,validation:0.001859002048149705
train:0.0017096176321341932,validation:0.0018516224420939882
train:0.0016968949687677425,validation:0.0018697670893743634
train:0.001702050450718501,validation:0.0018628225791164571
train:0.0016938423057301687,validation:0.0018663142109289765
train:0.0017061065281178433,validation:0.0018486179307931
train:0.0017039486255680959,validation:0.0018792158225551248
train:0.0016931353346700524,validation:0.001878273595745365
train:0.001716940194255785,validation:0.0018498072943960626
train:0.0017129794571671512,validation:0.0018885802581078475
train:0.0016980124867756615,validation:0.001897197721215586
train:0.0017236065283253953,validation:0.001849329409499963
train:0.0017220814505100742,validation:0.0018896647315058443
train:0.0017031520889089493,validation:0.001928308655300902
train:0.0017261378106323408,validation:0.0018680727419753869
train:0.0017268474579655699,validation:0.0018894602285905017
train:0.0017210191517433786,validation:0.0019094322213075226
train:0.0017261956562543963,validation:0.0018975674304076368
train:0.0017152417458819,validation:0.0018807672248739335
train:0.0017456378861954742,validation:0.001870294049796131
train:0.001719709333533851,validation:0.0019225340026120346
train:0.001717842007465251,validation:0.0019103821056584518
train:0.001734828889871446,validation:0.0018863774085831311
train:0.0017371768500287455,validation:0.0018619804177433252
train:0.0017291224871219678,validation:0.0019616802714558113
train:0.0017138622089667799,validation:0.001892578477660815
train:0.0017490275485625307,validation:0.001844671541928417
train:0.0017274599356044615,validation:0.001962701026867661
train:0.0017140698184228533,validation:0.0018938943847186035
train:0.0017500647527912815,validation:0.0018581746068472664
train:0.0017240774308607638,validation:0.0019397724342222016
train:0.0017279526628144494,validation:0.0019006384407273596
train:0.0017249643889634492,validation:0.0019064699299633503
train:0.0017441839560518389,validation:0.0018541937073071797
train:0.001728387779791604,validation:0.0019549637023980417
train:0.001713080657901918,validation:0.0018888077983218762
train:0.0017387306504463265,validation:0.0018807916462214456
train:0.0017413759071912085,validation:0.0018810569826099607
train:0.0016974735593136686,validation:0.0019655107106599542
train:0.001742123276926577,validation:0.0018246350939282114
train:0.0017203414636142143,validation:0.0019060630584135652
train:0.0017125454774781406,validation:0.0019200290941322844
